Rk,Team,G,Pts/G,TotPts,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
1,GreenBayPackers,16,22,4,359,390,637,61.2,39.8,4,796,7.8,299.8,29,31,246,38.6,72,71,10,29,80.6
2,NewEnglandPatriots,16,21,4,342,386,619,62.4,38.7,4,703,8.0,293.9,26,23,245,39.6,58,79,9,40,86.1
3,NewOrleansSaints,16,21,2,339,362,626,57.8,39.1,4,157,7.0,259.8,24,9,196,31.3,72T,49,14,33,86.4
4,NewYorkGiants,16,25,400,361,589,61.3,36.8,4,082,7.5,255.1,28,20,210,35.7,74,60,7,48,86.1
5,ChicagoBears,16,21,3,341,383,631,60.7,39.4,4,065,6.8,254.1,22,20,199,31.5,79T,49,9,33,79.3
6,OaklandRaiders,16,27,1,433,324,601,53.9,37.6,4,023,7.1,251.4,31,18,206,34.3,81,58,11,39,81.3
7,MinnesotaVikings,16,28,1,449,367,538,68.2,33.6,4,019,8.1,251.2,34,8,213,39.6,79T,55,13,50,107.6
8,MiamiDolphins,16,19,6,313,350,590,59.3,36.9,3,992,7.2,249.5,24,16,198,33.6,99T,63,10,41,83.7
9,CarolinaPanthers,16,26,8,429,318,490,64.9,30.6,3,949,8.4,246.8,28,14,191,39.0,84T,52,11,31,98.3
10,DallasCowboys,16,21,7,347,336,545,61.7,34.1,3,906,7.6,244.1,24,15,199,36.5,74T,57,9,42,88.4
11,DetroitLions,16,24,2,387,376,604,62.3,37.8,3,831,6.8,239.4,26,21,195,32.3,80T,46,9,41,82.1
12,TampaBayBuccaneers,16,30,9,494,301,481,62.6,30.1,3,814,8.2,238.4,30,14,188,39.1,91T,50,12,23,97.2
13,AtlantaFalcons,16,21,9,350,340,560,60.7,35.0,3,786,7.2,236.6,25,19,186,33.2,70T,56,12,33,83.3
14,BuffaloBills,16,27,1,434,321,507,63.3,31.7,3,714,7.7,232.1,30,20,196,38.7,65T,48,11,29,90.4
15,DenverBroncos,16,24,4,390,333,534,62.4,33.4,3,704,7.5,231.5,24,9,182,34.1,84,46,13,41,93.1
16,ArizonaCardinals,16,21,8,348,340,578,58.8,36.1,3,696,6.9,231.0,17,10,174,30.1,95T,58,7,42,82.5
17,SanFrancisco49ers,16,14,3,229,333,579,57.5,36.2,3,695,6.9,230.9,20,23,190,32.8,77,48,12,42,73.6
18,IndianapolisColts,16,26,9,430,351,493,71.2,30.8,3,632,7.8,227.0,25,8,193,39.1,81T,45,6,29,103.9
19,TennesseeTitans,16,19,8,317,369,591,62.4,36.9,3,629,6.4,226.8,21,11,187,31.6,78T,54,4,28,85.1
20,SanDiegoChargers,16,23,6,377,299,478,62.6,29.9,3,591,7.9,224.4,29,17,186,38.9,78,53,10,32,92.5
21,WashingtonRedskins,16,22,9,367,308,509,60.5,31.8,3,553,7.5,222.1,22,13,180,35.4,73T,58,9,41,87.4
22,SeattleSeahawks,16,19,7,315,324,543,59.7,33.9,3,518,6.9,219.9,18,22,174,32.0,68T,43,10,33,74.8
23,PhiladelphiaEagles,16,20,5,328,301,518,58.1,32.4,3,397,7.2,212.3,27,15,173,33.4,74T,53,13,50,85.7
24,CincinnatiBengals,16,20,2,323,319,539,59.2,33.7,3,385,6.8,211.6,21,10,170,31.5,74T,47,7,45,85.0
25,JacksonvilleJaguars,16,20,6,329,326,513,63.5,32.1,3,341,6.9,208.8,21,17,175,34.1,80T,43,7,31,83.7
26,St.LouisRams,16,25,4,407,293,484,60.5,30.2,3,301,7.4,206.3,21,12,166,34.3,93T,49,12,39,87.3
27,KansasCityChiefs,16,21,1,338,257,454,56.6,28.4,3,221,7.5,201.3,23,20,169,37.2,67T,55,8,29,79.1
28,NewYorkJets,16,22,7,363,275,507,54.2,31.7,3,216,6.7,201.0,15,19,167,32.9,99T,43,10,35,69.6
29,BaltimoreRavens,16,16,6,266,288,535,53.8,33.4,3,140,6.4,196.2,11,15,166,31.0,66,46,8,48,68.8
30,HoustonTexans,16,17,4,278,279,538,51.9,33.6,3,035,6.2,189.7,18,17,166,30.9,56,45,6,44,69.0
31,ClevelandBrowns,16,19,2,307,265,469,56.5,29.3,2,959,6.7,184.9,16,9,149,31.8,80T,43,8,32,80.6
32,PittsburghSteelers,16,14,2,227,289,530,54.5,33.1,2,751,5.6,171.9,15,11,156,29.4,73T,34,2,35,71.7
