Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,NewOrleansSaints,16,28,4,454,457,28.6,2,361,5.2,147.6,18,91T,116,25.4,19,7,6
2,BuffaloBills,16,27,2,435,470,29.4,2,333,5.0,145.8,23,83T,136,28.9,19,2,11
3,JacksonvilleJaguars,16,27,8,444,545,34.1,2,256,4.1,141.0,19,53,133,24.4,9,4,4
4,IndianapolisColts,16,24,2,387,428,26.8,2,200,5.1,137.5,14,86T,102,23.8,21,7,4
5,ArizonaCardinals,16,22,3,357,506,31.6,2,192,4.3,137.0,12,46,107,21.1,14,1,5
6,KansasCityChiefs,16,26,6,425,482,30.1,2,171,4.5,135.7,11,47,106,22.0,19,2,7
7,NewYorkJets,16,23,4,375,495,30.9,2,138,4.3,133.6,17,94T,96,19.4,12,5,7
8,NewYorkGiants,16,21,5,344,449,28.1,2,066,4.6,129.1,9,78,104,23.2,10,3,8
9,TennesseeTitans,16,29,4,471,483,30.2,2,035,4.2,127.2,16,46,122,25.3,6,1,6
10,PhiladelphiaEagles,16,27,8,444,479,29.9,2,021,4.2,126.3,11,43,108,22.5,13,2,7
11,DallasCowboys,16,25,400,441,27.6,2,003,4.5,125.2,17,43,92,20.9,15,1,4
12,AtlantaFalcons,16,18,7,299,411,25.7,1,971,4.8,123.2,16,72T,99,24.1,16,8,8
13,BaltimoreRavens,16,21,5,344,492,30.8,1,965,4.0,122.8,15,31T,105,21.3,8,0,11
14,ClevelandBrowns,16,23,368,457,28.6,1,898,4.2,118.6,14,80T,104,22.8,9,2,9
15,OaklandRaiders,16,27,7,443,444,27.8,1,897,4.3,118.6,18,70T,95,21.4,13,5,3
16,GreenBayPackers,16,21,336,418,26.1,1,896,4.5,118.5,12,82T,83,19.9,13,2,3
17,DetroitLions,16,27,3,437,420,26.2,1,889,4.5,118.1,13,81T,107,25.5,12,3,4
18,St.LouisRams,16,21,8,348,442,27.6,1,880,4.3,117.5,18,82T,107,24.2,12,4,4
19,CarolinaPanthers,16,22,7,363,416,26.0,1,761,4.2,110.1,11,65T,98,23.6,9,2,7
20,MiamiDolphins,16,19,8,317,431,26.9,1,734,4.0,108.4,10,62,79,18.3,11,3,3
21,CincinnatiBengals,16,20,320,423,26.4,1,715,4.1,107.2,13,32T,99,23.4,8,0,8
22,MinnesotaVikings,16,21,8,348,427,26.7,1,692,4.0,105.8,10,76T,82,19.2,6,2,8
23,SeattleSeahawks,16,15,3,245,368,23.0,1,649,4.5,103.1,8,74,80,21.7,10,1,8
24,NewEnglandPatriots,16,20,7,331,415,25.9,1,630,3.9,101.9,10,31,100,24.1,5,0,19
25,ChicagoBears,16,17,3,277,388,24.2,1,627,4.2,101.7,6,80T,75,19.3,10,2,12
26,HoustonTexans,16,20,7,331,390,24.4,1,560,4.0,97.5,5,29,94,24.1,13,0,10
27,SanDiegoChargers,16,21,9,350,406,25.4,1,542,3.8,96.4,10,41,85,20.9,6,1,9
28,WashingtonRedskins,16,24,2,388,363,22.7,1,532,4.2,95.8,11,53,89,24.5,9,2,7
29,SanFrancisco49ers,16,17,1,273,407,25.4,1,507,3.7,94.2,7,35,72,17.7,9,0,5
30,DenverBroncos,16,18,1,289,404,25.2,1,458,3.6,91.1,5,36,73,18.1,5,0,6
31,PittsburghSteelers,16,19,6,314,391,24.4,1,450,3.7,90.6,9,64T,78,19.9,6,1,6
32,TampaBayBuccaneers,16,24,6,394,377,23.6,1,320,3.5,82.5,13,64T,75,19.9,8,1,3
