Rk,Team,G,Pts/G,TotPts,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
1,IndianapolisColts,16,28,6,458,410,661,62.0,41.3,4,894,7.7,305.9,42,16,251,38.0,80,78,15,29,96.8
2,PittsburghSteelers,16,27,2,436,411,612,67.2,38.2,4,825,8.2,301.6,33,10,243,39.7,94T,56,15,33,103.2
3,NewOrleansSaints,16,25,1,401,456,659,69.2,41.2,4,764,7.5,297.8,33,17,258,39.2,69T,52,10,30,97.0
4,DenverBroncos,16,30,1,482,399,607,65.7,37.9,4,661,7.9,291.3,40,15,227,37.4,86T,67,11,17,101.3
5,AtlantaFalcons,16,23,8,381,418,632,66.1,39.5,4,553,7.5,284.6,28,15,233,36.9,79,61,9,31,93.4
6,PhiladelphiaEagles,16,29,6,474,384,621,61.8,38.8,4,356,7.4,272.2,27,21,218,35.1,72,63,13,32,84.8
7,NewYorkGiants,16,23,8,380,383,607,63.1,37.9,4,272,7.4,267.0,30,14,218,35.9,80T,53,10,30,92.2
8,GreenBayPackers,16,30,4,486,349,536,65.1,33.5,4,261,8.3,266.3,38,6,222,41.4,80T,59,15,30,109.9
9,NewEnglandPatriots,16,29,2,468,392,609,64.4,38.1,4,121,7.0,257.6,34,9,228,37.4,69T,46,8,26,97.5
10,SanDiegoChargers,16,21,8,348,380,574,66.2,35.9,4,098,7.5,256.1,31,18,214,37.3,59,57,9,37,93.4
11,WashingtonRedskins,16,18,8,301,364,547,66.5,34.2,4,047,8.2,252.9,18,18,186,34.0,81T,57,20,58,88.8
12,DetroitLions,16,20,1,321,365,604,60.4,37.8,4,030,7.1,251.9,22,12,210,34.8,73T,54,11,45,85.9
13,BaltimoreRavens,16,25,6,409,344,554,62.1,34.6,3,819,7.2,238.7,27,12,194,35.0,80T,50,7,19,91.0
14,ArizonaCardinals,16,19,4,310,320,568,56.3,35.5,3,808,7.0,238.0,21,12,191,33.6,81T,58,11,28,81.8
15,ChicagoBears,16,19,9,319,396,609,65.0,38.1,3,792,6.6,237.0,30,19,194,31.9,74,41,8,41,87.3
16,DallasCowboys,16,29,2,467,328,476,68.9,29.8,3,784,8.4,236.5,37,11,205,43.1,68T,54,12,30,110.9
17,MiamiDolphins,16,24,2,388,394,595,66.2,37.2,3,729,6.8,233.1,27,12,226,38.0,50,41,4,46,92.5
18,BuffaloBills,16,21,4,343,363,579,62.7,36.2,3,614,6.7,225.9,23,13,186,32.1,84,52,8,39,86.0
19,CarolinaPanthers,16,21,2,339,327,545,60.0,34.1,3,511,7.0,219.4,23,12,199,36.5,51,43,4,42,86.2
20,ClevelandBrowns,16,18,7,299,274,502,54.6,31.4,3,465,7.3,216.6,12,16,179,35.7,81T,56,11,31,72.8
21,CincinnatiBengals,16,22,8,365,323,503,64.2,31.4,3,421,7.1,213.8,20,17,164,32.6,81T,35,8,23,84.2
22,TennesseeTitans,16,15,9,254,299,513,58.3,32.1,3,412,7.3,213.2,20,16,159,31.0,80T,50,8,50,81.0
23,St.LouisRams,16,20,2,324,327,515,63.5,32.2,3,400,7.2,212.5,20,16,189,36.7,63T,43,7,47,84.9
24,HoustonTexans,16,23,2,372,295,485,60.8,30.3,3,352,7.1,209.5,22,13,171,35.3,76T,49,9,26,86.4
25,TampaBayBuccaneers,16,17,3,277,301,531,56.7,33.2,3,297,6.8,206.1,21,20,162,30.5,56T,51,9,52,75.2
26,OaklandRaiders,16,15,8,253,365,629,58.0,39.3,3,275,5.5,204.7,22,16,173,27.5,77T,30,7,28,74.4
27,SeattleSeahawks,16,24,6,394,287,454,63.2,28.4,3,250,7.7,203.1,20,7,160,35.2,80T,54,8,42,95.1
28,MinnesotaVikings,16,20,3,325,322,517,62.3,32.3,3,244,6.9,202.8,17,18,171,33.1,87T,43,7,51,79.2
29,KansasCityChiefs,16,22,1,353,320,493,64.9,30.8,3,182,7.0,198.9,18,6,184,37.3,70T,43,3,49,92.2
30,SanFrancisco49ers,16,19,1,306,292,487,60.0,30.4,3,063,7.0,191.4,20,10,165,33.9,80T,49,5,52,86.3
31,JacksonvilleJaguars,16,15,6,249,325,557,58.3,34.8,3,001,6.2,187.6,15,18,154,27.6,63T,43,9,71,72.0
32,NewYorkJets,16,17,7,283,287,498,57.6,31.1,2,946,6.4,184.1,16,15,154,30.9,74T,40,9,47,75.1
