team-away,team-home,score-away,score-home
Falcons,Eagles,12,18
Bills,Ravens,3,47
Steelers,Browns,21,21
Bengals,Colts,34,23
Titans,Dolphins,20,27
49ers,Vikings,16,24
Texans,Patriots,20,27
Buccaneers,Saints,48,40
Jaguars,Giants,20,15
Chiefs,Chargers,38,28
Redskins,Cardinals,24,6
Cowboys,Panthers,8,16
Seahawks,Broncos,24,27
Bears,Packers,23,24
Jets,Lions,48,17
Rams,Raiders,33,13
Ravens,Bengals,23,34
Panthers,Falcons,24,31
Chargers,Bills,31,20
Vikings,Packers,29,29
Browns,Saints,18,21
Dolphins,Jets,20,12
Chiefs,Steelers,42,37
Eagles,Buccaneers,21,27
Texans,Titans,17,20
Colts,Redskins,21,9
Cardinals,Rams,0,34
Lions,49ers,27,30
Raiders,Broncos,19,20
Patriots,Jaguars,20,31
Giants,Cowboys,13,20
Seahawks,Bears,17,24
Jets,Browns,17,21
Saints,Falcons,43,37
Broncos,Ravens,14,27
Bengals,Panthers,21,31
Giants,Texans,27,22
Titans,Jaguars,9,6
49ers,Chiefs,27,38
Raiders,Dolphins,20,28
Bills,Vikings,27,6
Colts,Eagles,16,20
Packers,Redskins,17,31
Chargers,Rams,23,35
Bears,Cardinals,16,14
Cowboys,Seahawks,13,24
Patriots,Lions,10,26
Steelers,Buccaneers,30,27
Vikings,Rams,31,38
Bengals,Falcons,37,36
Buccaneers,Bears,10,48
Lions,Cowboys,24,26
Bills,Packers,0,22
Texans,Colts,37,34
Jets,Jaguars,12,31
Dolphins,Patriots,7,38
Eagles,Titans,23,26
Seahawks,Cardinals,20,17
Browns,Raiders,42,45
49ers,Chargers,27,29
Saints,Giants,33,18
Ravens,Steelers,26,14
Chiefs,Broncos,27,23
Colts,Patriots,24,38
Titans,Bills,12,13
Giants,Panthers,31,33
Dolphins,Bengals,17,27
Ravens,Browns,9,12
Packers,Lions,23,31
Jaguars,Chiefs,14,30
Broncos,Jets,16,34
Falcons,Steelers,17,41
Raiders,Chargers,10,26
