Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,SeattleSeahawks,16,26,8,428,534,33.4,2,560,4.8,160.0,15,61,133,24.9,17,2,6
2,BaltimoreRavens,16,24,3,389,547,34.2,2,441,4.5,152.6,19,43,153,28.0,14,1,16
3,LosAngelesRams,16,32,9,527,459,28.7,2,231,4.9,139.4,23,56,134,29.2,14,2,2
4,CarolinaPanthers,16,23,5,376,416,26.0,2,136,5.1,133.5,17,59,117,28.1,15,3,7
5,NewEnglandPatriots,16,27,2,436,478,29.9,2,037,4.3,127.3,18,34T,131,27.4,12,0,2
6,NewOrleansSaints,16,31,5,504,471,29.4,2,025,4.3,126.6,26,49T,134,28.5,9,1,7
7,TennesseeTitans,16,19,4,310,454,28.4,2,023,4.5,126.4,15,99T,106,23.3,10,2,4
8,HoustonTexans,16,25,1,402,472,29.5,2,021,4.3,126.3,12,97T,94,19.9,8,2,4
9,BuffaloBills,16,16,8,269,468,29.2,1,984,4.2,124.0,15,45,108,23.1,15,1,7
10,DallasCowboys,16,21,2,339,439,27.4,1,963,4.5,122.7,13,41,113,25.7,12,1,10
11,ChicagoBears,16,26,3,421,468,29.2,1,938,4.1,121.1,16,42,108,23.1,17,1,9
12,DenverBroncos,16,20,6,329,393,24.6,1,907,4.9,119.2,18,65T,107,27.2,12,3,4
13,SanFrancisco49ers,16,21,4,342,423,26.4,1,902,4.5,118.9,7,66T,98,23.2,15,3,13
14,ClevelandBrowns,16,22,4,359,411,25.7,1,893,4.6,118.3,15,92T,93,22.6,18,5,6
15,LosAngelesChargers,16,26,8,428,399,24.9,1,873,4.7,117.1,16,41,100,25.1,16,1,2
16,KansasCityChiefs,16,35,3,565,387,24.2,1,855,4.8,115.9,16,45,108,27.9,19,1,4
17,WashingtonRedskins,16,17,6,281,414,25.9,1,774,4.3,110.9,12,90T,96,23.2,7,3,6
18,MiamiDolphins,16,19,9,319,371,23.2,1,738,4.7,108.6,7,75T,75,20.2,12,3,7
19,JacksonvilleJaguars,16,15,3,245,416,26.0,1,723,4.1,107.7,7,43,92,22.1,9,2,5
20,IndianapolisColts,16,27,1,433,408,25.5,1,718,4.2,107.4,13,53,96,23.5,9,2,5
21,CincinnatiBengals,16,23,368,359,22.4,1,682,4.7,105.1,13,51,92,25.6,16,3,2
22,GreenBayPackers,16,23,5,376,333,20.8,1,667,5.0,104.2,14,67,98,29.4,10,1,4
23,DetroitLions,16,20,2,324,404,25.2,1,660,4.1,103.8,11,71,91,22.5,10,1,3
24,NewYorkGiants,16,23,1,369,354,22.1,1,650,4.7,103.1,13,78T,71,20.1,17,7,0
25,OaklandRaiders,16,18,1,290,387,24.2,1,628,4.2,101.8,9,52,86,22.2,8,2,8
26,NewYorkJets,16,20,8,333,410,25.6,1,622,4.0,101.4,11,77T,84,20.5,11,3,9
27,AtlantaFalcons,16,25,9,414,351,21.9,1,573,4.5,98.3,11,65,84,23.9,14,3,4
28,PhiladelphiaEagles,16,22,9,367,398,24.9,1,570,3.9,98.1,12,32,94,23.6,7,0,5
29,TampaBayBuccaneers,16,24,8,396,389,24.3,1,523,3.9,95.2,11,28,80,20.6,5,0,5
30,MinnesotaVikings,16,22,5,360,357,22.3,1,493,4.2,93.3,9,70,66,18.5,13,1,6
31,PittsburghSteelers,16,26,8,428,345,21.6,1,445,4.2,90.3,16,30,88,25.5,10,0,4
32,ArizonaCardinals,16,14,1,225,355,22.2,1,342,3.8,83.9,9,53,76,21.4,6,1,6
